iter	Passed	Remaining
435	5143	6653
436	5152	6638
437	5162	6624
438	5177	6616
439	5190	6606
440	5202	6594
441	5212	6580
442	5223	6567
443	5236	6557
444	5246	6543
445	5259	6533
446	5272	6523
447	5286	6513
448	5299	6503
449	5311	6492
450	5321	6477
451	5335	6468
452	5344	6453
453	5355	6440
454	5365	6426
455	5375	6413
456	5390	6404
457	5399	6390
458	5414	6381
459	5427	6371
460	5440	6361
461	5451	6348
462	5460	6333
463	5470	6319
464	5480	6305
465	5491	6292
466	5500	6277
467	5514	6269
468	5525	6255
469	5534	6241
470	5547	6230
471	5557	6216
472	5565	6200
473	5576	6188
474	5585	6173
475	5595	6159
476	5607	6148
477	5621	6139
478	5631	6124
479	5639	6109
480	5652	6098
481	5661	6084
482	5673	6072
483	5682	6057
484	5694	6046
485	5704	6032
486	5714	6019
487	5724	6005
488	5737	5995
489	5747	5981
490	5760	5971
491	5773	5961
492	5786	5950
493	5798	5939
494	5807	5925
495	5817	5911
496	5831	5901
497	5842	5889
498	5854	5878
499	5863	5863
500	5873	5850
501	5881	5835
502	5892	5822
503	5901	5808
504	5911	5794
505	5920	5779
506	5932	5768
507	5947	5760
508	5960	5749
509	5969	5735
510	5979	5722
511	5988	5707
512	5999	5695
513	6007	5680
514	6022	5671
515	6032	5658
516	6045	5648
517	6055	5635
518	6070	5625
519	6081	5613
520	6093	5601
521	6102	5588
522	6117	5579
523	6127	5566
524	6136	5552
525	6146	5538
526	6156	5525
527	6166	5512
528	6179	5502
529	6188	5488
530	6199	5475
531	6212	5464
532	6225	5454
533	6234	5440
534	6245	5428
535	6254	5414
536	6264	5401
537	6274	5388
538	6285	5375
539	6298	5365
540	6309	5352
541	6319	5340
542	6331	5328
543	6340	5314
544	6349	5301
545	6358	5287
546	6370	5275
547	6379	5262
548	6388	5247
549	6397	5234
550	6407	5221
551	6421	5211
552	6430	5197
553	6442	5186
554	6452	5173
555	6461	5160
556	6471	5147
557	6481	5134
558	6491	5121
559	6501	5108
560	6514	5097
561	6527	5086
562	6535	5073
563	6546	5060
564	6556	5048
565	6568	5036
566	6577	5023
567	6589	5011
568	6602	5001
569	6613	4989
570	6623	4976
571	6632	4962
572	6643	4950
573	6652	4937
574	6666	4927
575	6677	4915
576	6688	4903
577	6699	4891
578	6714	4881
579	6724	4869
580	6734	4856
581	6755	4852
582	6766	4840
583	6775	4826
584	6786	4814
585	6797	4802
586	6811	4792
587	6823	4781
588	6834	4769
589	6845	4756
590	6856	4744
591	6867	4732
592	6877	4720
593	6890	4709
594	6901	4697
595	6915	4688
596	6924	4674
597	6936	4663
598	6950	4652
599	6963	4642
600	6972	4629
601	6982	4616
602	6990	4602
603	7002	4591
604	7012	4578
605	7025	4567
606	7035	4554
607	7045	4542
608	7057	4531
609	7067	4518
610	7081	4508
611	7093	4497
612	7104	4484
613	7113	4472
614	7123	4459
615	7134	4447
616	7147	4436
617	7158	4425
618	7170	4413
619	7182	4402
620	7196	4392
621	7206	4379
622	7217	4367
623	7229	4356
624	7242	4345
625	7256	4335
626	7270	4324
627	7280	4312
628	7292	4301
629	7304	4289
630	7315	4278
631	7328	4267
632	7338	4254
633	7348	4242
634	7359	4230
635	7372	4219
636	7382	4206
637	7392	4194
638	7404	4182
639	7413	4169
640	7425	4158
641	7436	4146
642	7449	4135
643	7459	4123
644	7471	4112
645	7481	4099
646	7490	4087
647	7501	4075
648	7513	4063
649	7523	4051
650	7537	4040
651	7548	4028
652	7559	4017
653	7573	4006
654	7583	3994
655	7597	3984
656	7607	3971
657	7616	3958
658	7627	3946
659	7637	3934
660	7650	3923
661	7663	3912
662	7676	3901
663	7686	3889
664	7699	3878
665	7713	3868
666	7722	3855
667	7732	3843
668	7742	3830
669	7756	3820
670	7770	3809
671	7780	3797
672	7793	3786
673	7804	3774
674	7816	3763
675	7826	3751
676	7837	3739
677	7847	3726
678	7857	3714
679	7870	3703
680	7884	3693
681	7898	3683
682	7910	3671
683	7922	3660
684	7936	3649
685	7949	3638
686	7958	3626
687	7970	3614
688	7982	3603
689	7992	3590
690	8002	3578
691	8013	3566
692	8023	3554
693	8033	3542
694	8042	3529
695	8052	3517
696	8063	3505
697	8077	3494
698	8088	3482
699	8098	3470
700	8111	3459
701	8124	3448
702	8135	3437
703	8146	3425
704	8159	3414
705	8169	3401
706	8178	3389
707	8188	3377
708	8200	3365
709	8213	3354
710	8224	3342
711	8233	3330
712	8243	3318
713	8254	3306
714	8265	3294
715	8276	3282
716	8285	3270
717	8296	3258
718	8310	3247
719	8321	3236
720	8331	3223
721	8340	3211
722	8351	3199
723	8359	3186
724	8370	3175
725	8384	3164
726	8396	3153
727	8407	3141
728	8417	3129
729	8428	3117
730	8441	3106
731	8451	3094
732	8461	3082
733	8472	3070
734	8482	3058
735	8493	3046
736	8503	3034
737	8516	3023
738	8525	3011
739	8536	2999
740	8550	2988
741	8564	2977
742	8575	2966
743	8588	2955
744	8597	2942
745	8607	2930
746	8621	2919
747	8631	2907
748	8640	2895
749	8649	2883
750	8661	2871
751	8672	2860
752	8682	2847
753	8693	2836
754	8702	2824
755	8711	2811
756	8721	2799
757	8731	2787
758	8742	2775
759	8754	2764
760	8763	2752
761	8774	2740
762	8785	2728
763	8794	2716
764	8805	2704
765	8817	2693
766	8827	2681
767	8837	2669
768	8845	2657
769	8855	2645
770	8867	2633
771	8877	2621
772	8888	2610
773	8901	2599
774	8911	2587
775	8921	2575
776	8930	2563
777	8940	2551
778	8952	2539
779	8961	2527
780	8975	2516
781	8985	2504
782	8996	2493
783	9007	2481
784	9020	2470
785	9029	2458
786	9039	2446
787	9048	2434
788	9058	2422
789	9069	2410
790	9078	2398
791	9087	2386
792	9097	2374
793	9106	2362
794	9115	2350
795	9126	2339
796	9139	2327
797	9148	2315
798	9160	2304
799	9168	2292
800	9179	2280
801	9189	2268
802	9198	2256
803	9207	2244
804	9218	2233
805	9227	2221
806	9237	2209
807	9246	2197
808	9256	2185
809	9266	2173
810	9276	2161
811	9285	2149
812	9295	2138
813	9306	2126
814	9316	2114
815	9326	2102
816	9334	2090
817	9345	2079
818	9356	2067
819	9368	2056
820	9378	2044
821	9390	2033
822	9399	2021
823	9412	2010
824	9426	1999
825	9435	1987
826	9446	1976
827	9456	1964
828	9469	1953
829	9481	1941
830	9490	1930
831	9500	1918
832	9512	1906
833	9522	1895
834	9530	1883
835	9540	1871
836	9551	1859
837	9561	1848
838	9570	1836
839	9582	1825
840	9591	1813
841	9602	1801
842	9615	1790
843	9624	1779
844	9633	1767
845	9642	1755
846	9651	1743
847	9661	1731
848	9672	1720
849	9681	1708
850	9691	1696
851	9700	1685
852	9708	1673
853	9719	1661
854	9728	1649
855	9738	1638
856	9747	1626
857	9756	1614
858	9769	1603
859	9778	1591
860	9788	1580
861	9798	1568
862	9807	1556
863	9816	1545
864	9825	1533
865	9835	1521
866	9846	1510
867	9855	1498
868	9864	1487
869	9873	1475
870	9883	1463
871	9893	1452
872	9901	1440
873	9910	1428
874	9923	1417
875	9932	1406
876	9942	1394
877	9953	1383
878	9961	1371
879	9971	1359
880	9981	1348
881	9990	1336
882	9999	1324
883	10008	1313
884	10017	1301
885	10028	1290
886	10038	1278
887	10048	1267
888	10057	1255
889	10065	1244
890	10076	1232
891	10085	1221
892	10094	1209
893	10104	1198
894	10117	1186
895	10126	1175
896	10136	1163
897	10148	1152
898	10157	1141
899	10166	1129
900	10174	1117
901	10187	1106
902	10197	1095
903	10207	1083
904	10216	1072
905	10227	1061
906	10237	1049
907	10251	1038
908	10260	1027
909	10269	1015
910	10279	1004
911	10293	993
912	10305	982
913	10316	970
914	10324	959
915	10334	947
916	10345	936
917	10354	924
918	10365	913
919	10377	902
920	10386	890
921	10398	879
922	10408	868
923	10419	857
924	10429	845
925	10443	834
926	10452	823
927	10462	811
928	10474	800
929	10484	789
930	10493	777
931	10502	766
932	10512	754
933	10525	743
934	10537	732
935	10547	721
936	10556	709
937	10565	698
938	10574	686
939	10586	675
940	10595	664
941	10605	652
942	10615	641
943	10625	630
944	10635	618
945	10644	607
946	10654	596
947	10665	585
948	10675	573
949	10688	562
950	10697	551
951	10707	539
952	10717	528
953	10727	517
954	10737	505
955	10747	494
956	10757	483
957	10768	472
958	10782	460
959	10796	449
960	10806	438
961	10815	427
962	10828	416
963	10838	404
964	10852	393
965	10862	382
966	10873	371
967	10883	359
968	10892	348
969	10901	337
970	10912	325
971	10922	314
972	10932	303
973	10942	292
974	10951	280
975	10960	269
976	10969	258
977	10980	247
978	10991	235
979	11001	224
980	11011	213
981	11021	202
982	11032	190
983	11042	179
984	11052	168
985	11065	157
986	11079	145
987	11092	134
988	11105	123
989	11117	112
990	11127	101
991	11141	89
992	11151	78
993	11165	67
994	11178	56
995	11191	44
996	11205	33
997	11218	22
998	11228	11
999	11241	0
