iter	RMSE
0	108.4024055
1	105.9188413
2	103.6898621
3	101.6706141
4	99.83938453
5	98.19015845
6	96.7119553
7	95.37474681
8	94.20156544
9	93.11128092
10	92.15026808
11	91.26583908
12	90.47164943
13	89.78247997
14	89.13844973
15	88.50404515
16	87.95900047
17	87.46004753
18	87.03303556
19	86.58888481
20	86.18402162
21	85.84058724
22	85.536837
23	85.21519249
24	84.95714684
25	84.6987147
26	84.47655739
27	84.27945801
28	84.05592326
29	83.90403186
30	83.75061762
31	83.57838371
32	83.44707496
33	83.33067739
34	83.19181258
35	83.08682228
36	82.9669849
37	82.86206686
38	82.77857346
39	82.71621723
40	82.61645413
41	82.5332202
42	82.47177395
43	82.41013227
44	82.32292361
45	82.27365118
46	82.22198531
47	82.14385383
48	82.07683104
49	82.02982128
50	81.97976013
51	81.93324465
52	81.84651667
53	81.78963917
54	81.76846235
55	81.73516596
56	81.70135935
57	81.65368316
58	81.61525022
59	81.57767032
60	81.55717515
61	81.55608112
62	81.54643765
63	81.50571524
64	81.4627379
65	81.42549785
66	81.38183905
67	81.36795685
68	81.31754062
69	81.28816061
70	81.23385892
71	81.19409522
72	81.18472079
73	81.1625575
74	81.14532256
75	81.11336789
76	81.0928383
77	81.09282448
78	81.06883031
79	81.05484748
80	81.03317155
81	81.01126566
82	81.01125736
83	81.00361921
84	80.98123194
85	80.93512037
86	80.91765691
87	80.90214052
88	80.90207124
89	80.89786745
90	80.89785082
91	80.88980841
92	80.88959777
93	80.88960332
94	80.85285625
95	80.85273147
96	80.82800037
97	80.8279865
98	80.81153188
99	80.81153466
100	80.81149027
101	80.77584558
102	80.76034913
103	80.76034358
104	80.7411875
105	80.72631202
106	80.72615928
107	80.6988142
108	80.68615649
109	80.67077899
110	80.67066505
111	80.6705928
112	80.67052332
113	80.64920275
114	80.64916662
115	80.63097672
116	80.6118622
117	80.61182327
118	80.61179546
119	80.61177043
120	80.59491283
121	80.58365764
122	80.58363261
123	80.57570629
124	80.55660092
125	80.54964885
126	80.54963215
127	80.54924529
128	80.54921467
129	80.52202666
130	80.51719605
131	80.51716542
132	80.49316397
133	80.49314169
134	80.49311941
135	80.48291405
136	80.46835301
137	80.46832793
138	80.46831122
139	80.46828614
140	80.46827221
141	80.46824993
142	80.46824157
143	80.46062988
144	80.44283489
145	80.44283767
146	80.44282653
147	80.44282374
148	80.41994584
149	80.41994306
150	80.4103334
151	80.41032783
152	80.41029995
153	80.41028879
154	80.41028601
155	80.41028322
156	80.41022467
157	80.41018006
158	80.39386022
159	80.3846128
160	80.38461001
161	80.38460722
162	80.38459885
163	80.38459885
164	80.38457096
165	80.38454307
166	80.3845375
167	80.38452634
168	80.38452076
169	80.38451797
170	80.36973548
171	80.35762855
172	80.35760902
173	80.35760344
174	80.35760065
175	80.35758391
176	80.3575309
177	80.3575309
178	80.3575309
179	80.35748906
180	80.35745837
181	80.35745837
182	80.34317595
183	80.34317037
184	80.34316758
185	80.31634246
186	80.31633409
187	80.31630617
188	80.31630059
189	80.31627268
190	80.31626989
191	80.3162643
192	80.31625872
193	80.31623081
194	80.3162029
195	80.31619173
196	80.30064567
197	80.30062054
198	80.30062333
199	80.30061775
200	80.30058146
201	80.28656256
202	80.26275471
203	80.23120856
204	80.22255997
205	80.22255997
206	80.22253762
207	80.22253203
208	80.22252923
209	80.20345992
210	80.18611111
211	80.18609433
212	80.1812323
213	80.16294461
214	80.16290545
215	80.15346357
216	80.15342161
217	80.15339364
218	80.15339924
219	80.14793943
220	80.13762857
221	80.13761458
222	80.13133678
223	80.10980554
224	80.09718631
225	80.09714712
226	80.09124963
227	80.09121884
228	80.09116006
229	80.09114326
230	80.0836441
231	80.07620582
232	80.07614983
233	80.06887605
234	80.05861101
235	80.05105559
236	80.04788255
237	80.04761369
238	80.04309614
239	80.03199584
240	80.01780942
241	80.017773
242	80.01766654
243	80.01764132
244	80.01738917
245	80.01736396
246	80.01100107
247	80.01092822
248	80.00194477
249	80.00193356
250	80.0018607
251	80.0018551
252	79.99711358
253	79.98597887
254	79.97536121
255	79.95483943
256	79.95483382
257	79.9523187
258	79.95223458
259	79.95222056
260	79.95212243
261	79.95211962
262	79.95211962
263	79.95203831
264	79.9519654
265	79.94709474
266	79.94298935
267	79.92304271
268	79.92040036
269	79.91401572
270	79.90735283
271	79.9073388
272	79.90308267
273	79.90132067
274	79.90130945
275	79.90107938
276	79.90107096
277	79.90084369
278	79.90083808
279	79.885837
280	79.88582577
281	79.88581735
282	79.88554514
283	79.88016806
284	79.87997161
285	79.87710611
286	79.87709769
287	79.87001069
288	79.86981421
289	79.86702413
290	79.86702133
291	79.86702133
292	79.85930742
293	79.85510207
294	79.85431038
295	79.85391173
296	79.85355238
297	79.85346816
298	79.83826161
299	79.8342433
300	79.83045506
301	79.83029499
302	79.81153645
303	79.8113932
304	79.80960389
305	79.79919593
306	79.78551323
307	79.78536431
308	79.77906159
309	79.767399
310	79.76201396
311	79.74577232
312	79.74563738
313	79.72520551
314	79.71969107
315	79.71957577
316	79.71957577
317	79.71957296
318	79.71957014
319	79.71956733
320	79.71435624
321	79.70908011
322	79.70908011
323	79.70895918
324	79.70890011
325	79.70890574
326	79.69689814
327	79.69689251
328	79.6968897
329	79.69688688
330	79.69310337
331	79.69299366
332	79.69287832
333	79.69287832
334	79.69287832
335	79.69090631
336	79.69081067
337	79.68599156
338	79.68595217
339	79.68450048
340	79.68449766
341	79.68449485
342	79.68370991
343	79.68370991
344	79.67740197
345	79.67739916
346	79.67446166
347	79.6744504
348	79.64552263
349	79.64547478
350	79.6417789
351	79.64126377
352	79.64125814
353	79.6411737
354	79.64071205
355	79.64059663
356	79.64059945
357	79.64018565
358	79.63546201
359	79.62382625
360	79.62320683
361	79.62279294
362	79.62165262
363	79.61425848
364	79.6133771
365	79.60886589
366	79.60753388
367	79.58974814
368	79.58934534
369	79.58512291
370	79.57303465
371	79.56585294
372	79.5658304
373	79.56069377
374	79.55696295
375	79.55661917
376	79.55158339
377	79.55151012
378	79.54883007
379	79.54881034
380	79.5463923
381	79.54636975
382	79.5463613
383	79.53880513
384	79.53873749
385	79.53867266
386	79.53065066
387	79.5306422
388	79.52744558
389	79.52716368
390	79.52280827
391	79.52253482
392	79.52252918
393	79.5225179
394	79.51856257
395	79.51068516
396	79.51048215
397	79.50987876
398	79.50975752
399	79.50975188
400	79.50975188
401	79.50975188
402	79.50974624
403	79.50973497
404	79.50974342
405	79.50973497
406	79.50973215
407	79.50972369
408	79.50972369
409	79.50972651
410	79.50845205
411	79.50273083
412	79.50208508
413	79.50171004
414	79.50171286
415	79.49956128
416	79.4995641
417	79.49881399
418	79.49855174
419	79.4947616
420	79.49477006
421	79.49476442
422	79.49476724
423	79.49418912
424	79.49393813
425	79.49330077
426	79.48872916
427	79.48872634
428	79.48862481
429	79.48854584
430	79.4883597
431	79.48818484
432	79.48778717
433	79.48778717
434	79.48773922
435	79.4869326
436	79.48693542
437	79.4867944
438	79.4803298
439	79.4774922
440	79.47665162
441	79.47654161
442	79.47611568
443	79.46385567
444	79.46366665
445	79.46340709
446	79.45881401
447	79.45735252
448	79.45598129
449	79.45586561
450	79.45586561
451	79.45541982
452	79.455417
453	79.4549712
